slug,video_id,title_published,published,channel,views,retained_pct,avg_view_pct,watch_sec,duration_sec,likes,comments,shares,orders,link_clicks,retention_head,hook_seed,rehook,hook_q,title_form,hook_cuts,hook_first_sec,hook_delta,chips,note
window-screen,GuwyDLZCaXk,"""진작 살걸.."" 창틀에 딱 하나만 붙이면 모기 탈출입니다🦟 #꿀템 #살림템 #자취템 #쿠팡꿀템",2026-08-04,스팩먼저,2008,27.6,121.9,31,25.31,3,1,5,,,182.6,1,①,-,후킹형,2,1.40,32.1,5,루프 성공. 좋아요·공유 0
rotating-bookshelf,yDJTL-Ak9SU,좁은 방 필수템! 꺾이고 늘어나는 L자 책장으로 틈새 수납 끝내기 #꿀템 #살림템 #자취템 #쿠팡꿀템,2026-08-04,스팩먼저,1763,28.84,49.6,17,37.90,3,1,2,,,108.4,,,-,후킹형,1,2.50,16.2,5,B포맷 상한 27초를 11초 초과
wall-tile-sheet,H-oveWcoCJk,"싱크대 찌든때, 아직도 힘들게 닦으세요? #꿀템 #살림템 #자취템 #쿠팡꿀템",2026-08-05,스팩먼저,563,12.4,80.0,16,25.56,2,1,1,,,106.2,1,④,-,후킹형,1,2.30,2.3,5,훅 시드가 직전 편과 연속 중복
wall-shelf,YUMQk2LesJs,전세집? 드릴 꺼내지도 마세요! #꿀템 #살림템 #자취템 #쿠팡꿀템,2026-08-07,스팩먼저,1844,19.11,67.6,14,21.45,3,1,1,,,126.7,6+1,,-,후킹형,3,0.44,2.0,3,발행 1일차. 애널리틱스 집계 미부착 — 재실행 필요. 서사형(스펙 레일 철회)
kallax-shelf,TRQMsNTo2Fw,티비장 사지 마세요 #꿀템 #살림템 #자취템 #쿠팡꿀템  #이케아칼락스 #자취방꿀템 #원룸인테리어,2026-08-08,스팩먼저,1834,29.11,155.8,32,20.80,3,1,0,,,214.0,5,⑥,-,후킹형,3,0.50,13.7,3,시각반전 훅(0초 완성 TV장→비포 점프컷). 벽고정 비트 대본에서 제외·킷으로 이동. 훅 자막 t_in 0.0 강제 | 제목 금지명령형+해시태그3(스킬 규칙 0개를 사용자 지시로 해제)
microwave-rack-new,86lh40Y8_b4,엄마가 보자마자 하나 더 사라고 난리 난 주방템 #인테리어 #꿀템 #살림템 #자취템,2026-08-12,템캐스팅,2304,23.57,79.3,18,22.27,3,3,0,,,137.7,4,③,-,후킹형,4,0.53,6.0,3,"레퍼런스 9개 전 소스 사용(틱톡5는 사용자 직접 다운로드 — yt-dlp 추출기 파손). 나레이션 Typecast 채널보이스 + 하우스 체인(1.45배속·고역+4dB·압축4:1). 사용자 제공 mp3 판(24.19초, out/microwave-rack)도 있으나 고역 10.2%로 레퍼런스(15.2%)에 못 미쳐 이 판을 발행. 훅 시드 4(수치 선공개) 첫 사용 — 시장 관측 0개. 제목형 숫자명사 첫 표본. 썸네일 모순형('주방 선반인데 / 70kg 버팁니다'). 훅 0~2.4초 컷 3개. 🔴 자막 싱크 4회 재작업 — build_timeline의 ffprobe→ffmpeg 경로 치환 대소문자 버그(스냅이 한 번도 안 돌았음) + 자막 등장 애니메이션 0.17초 지연 + 전환마다 빈 프레임 1장. 전부 수정, 668프레임 전수 감사 통과"
shoe-cabinet,xwEwWi0eOm0,신발장인 줄 진짜 몰랐던 신발장 #꿀템 #살림템 #생활꿀템 #신발장  #자취템추천,2026-08-13,템캐스팅,1284,48.14,142.8,31,20.97,4,1,2,,,238.1,1,-,-,후킹형,1,2.60,30.5,2,"🔴 사용자가 나레이션 전문을 직접 작성(절대규칙 1). 훅이 시드 7→1(제3자 알리바이)로 바뀜 — window-screen(122.5%) 승자 시드 재사용. 재훅 없음(대본에 반전 문형 없음). 칩 3개→2개(대본이 10cm를 말하지 않게 돼 화면에서도 뺌). 🔴 사용자 지시로 중국어 소품 제외 — r01(현관문 부적) 통째 제외, r04는 0~8.7초(상판 스티커 전), r07은 3.2~12.8초(양 끝 미키 액자)만 사용. 소스 8개 중 4개만 살아남음. 🔴 상품도 교체(초슬림17cm 9247661818 → 씨크펀 틈새신발장 9432445437). 제목·썸네일 사용자 지정 (제목 14자로 12자 규칙 벗어남). 컷 14개 전부 명도/채도 델타 + 좌우반전 2컷. 629프레임 전수 감사 통과 (검은프레임 0/검은테두리 0)."
kitchen-cart,JnJBKvjxxug,주방이 좁은 게 아닙니다 #틈새선반 #원룸수납 #생활꿀템 #꿀템 #살림템 #자취템 #쿠팡꿀템,2026-08-11,템캐스팅,1874,33.47,144.9,36,24.46,12,1,7,,,201.5,3,,-,후킹형,2,1.27,53.0,4,🔴 발행됐으나 대장에 행이 없었다 — 2026-08-13 채널 감사에서 발견. video_id·발행일·지표 전부 미기록이라 S8 판정에서 통째로 빠져 있었다.
tv-swing-mount,nzyF3i45v24,밥 먹을 때마다 TV 각도 조절하느라 힘들었다면 필수 시청 #꿀템 #살림템 #자취템 #벽걸이티비브라켓 #인테리어 #쿠팡꿀템,2026-08-09,템캐스팅,1275,60.38,79.1,25,31.60,3,1,1,,,126.0,1,,-,후킹형,2,1.57,28.8,4,🔴 발행됐으나 대장에 행이 없었다 — 2026-08-13 채널 감사에서 발견. 31.6초로 B포맷 상한(24초)을 7.6초 초과한 유일한 편이다.
appliance-roller,e3_Ypg9qtbM,진작 살걸.. 세탁기 뒤 청소 고민 싹 해결해 주는 인생 살림템 #살림템 #자취템 #세탁기받침대 #생활꿀팁 #청소꿀팁,2026-08-14,템캐스팅,1729,35.74,86.4,19,21.93,4,1,2,,,139.4,2,①,,숫자명사,2,0.93,24.7,,"🔴 사용자가 나레이션 전문을 직접 작성(1인칭 실사용자 서사, 절대규칙 1). 마지막 문장 '왜냐면'을 훅으로 되돌리는 완전 루프 장치로 사용 — 채널 첫 시도. BGM 없음(사용자 지시). 칩 3개(45→70cm·500kg·브레이크)로 축소, 높이 4cm·바퀴 24개는 미채택. 소스는 rednote 4편(r07·r08·r10·r11)뿐 — 틱톡 3편은 워터마크가 프레임 중앙이라, r12는 자막 밴드가 세로 63~74%라 크롭 불가로 전량 배제. 🔴 컷 시트를 세 번 다시 잡았다: 키프레임 콘택트시트 타임스탬프를 믿고 자른 1차본이 14컷 중 6컷 오조준(칩 증거 화면 전부 어긋남), 2차본에서 훅 컷이 직전 씬 꼬리를 물어 0.1초 간격 프레임차로 경계 재측정."
no-drill-curtain,,,,,,19.0,,,,,,,,,,,,,후킹형,,,,,🔴 원장 누락분. 2026-08-11 28일 캡처의 「전세집? 드릴 꺼내지도 마세요!」로 추정 — video_id·발행일·조회수 확인 필요. 고정군
unknown-tv-stand,,,,템캐스팅,,60.3,,,,,,,,,,,,,사물주어형,,,,,🔴 slug 미상. 2026-08-11 28일 캡처 「TV가 걸어옵니다」 — 채널 최고 리텐션이며 원장에 행이 없다. video_id·발행일·조회수를 스튜디오에서 채울 것. 가동군 | 조회수 역산 추정 550~1000회 (channel_direction_2026-08.md 2-1)
billy-desk,w_HRQqKNtEY,공간 부족 해결! 32cm 책장이 1m 책상으로 변하는 이케아 꿀템 #이케아빌리 #책장책상 #살림템 #자취템 #인테리어꿀팁,2026-08-16,템캐스팅,1552,37.28,75.5,16,21.96,5,1,0,,,129.1,,,,숫자명사,2,1.33,22.3,0,"이케아 BILLY 빌리 수납장 겸 테이블. VSR로 자막·워터마크 제거, ♪ 로고는 컷별 크롭. 발행 제목이 킷(32.5cm 책장)과 다르다 — 실제는 후킹형+숫자."
sofa-gap-table,BlubXpdNEog,소파를 벽에 붙이면 안 되는 이유 #꿀템 #살림템 #생활꿀템 #협탁 #소파틈새테이블 #원룸인테리어,2026-08-17,템캐스팅,1505,40.08,150.0,28,18.67,1,1,0,,,201.6,1,①,,숫자명사,3,0.90,45.4,3,"나레이션 6차본 — 앞 5개 본이 SCRIPT_FORMULA 0단계(B 스펙레일 표)를 대본 출발점으로 삼아 칩 4개→비트 4개 스펙 명세서가 됐고 사용자가 반려. 2026-08-07 판정대로 제3자 알리바이 6단 서사로 되돌림(칩 4→3). 사용자 지정 벤치마킹 보고서 2종(도파민 정보성 ~임체)을 3~5차본에 반영했다가 「원래 내 껄로」 지시로 채널 마스터 톤 복귀. 🔴 훅 시드 1이 직전 편 shoe-cabinet과 연속 중복 — 골격 규칙과 연속회피 규칙 충돌, 골격을 택함. 🔴 소재 제약: 우리 제품은 콘센트 없는 민짜 슬림 콘솔인데 소스 8편 중 6편이 콘센트 내장형. s03(높이조절 오버행형) 전량 배제, s05는 0.6초부터 상판 콘센트가 들어와 1차 컷 후 배제. 실사용 소스는 s07(자막·워터마크 0)·s01(중국어 밴드 크롭)·s04(16초 이후) 3개. 컷 5만 검정 콘솔(실물컷 일치), 나머지는 우드 상판(색상 변형). 나레이션 실측 241자/18.4초 = 13.1자/초. 🔴 자막을 나레이션 요약으로 썼다가 말과 어긋나 전면 교체 — 자막 전 줄은 나레이션 원문의 연속 부분문자열이어야 한다. 테이블 다리 컷 2개(조절 발 시연·다리 기둥)는 사용자 지시로 제외. 색상 차이는 판정 기준이 아니다(SKILL.md 반영)."
